id,case_id,type,created_at,duration_minutes,advocate_id
126,23,call,2025-04-30T15:38:36.017664,8.2,14
127,23,doc_request,2025-04-30T17:38:36.017664,0.0,14
128,23,call,2025-05-03T05:03:53.656474,11.1,14
129,23,chat,2025-05-02T23:48:51.762104,27.6,14
130,23,insurer_followup,2025-05-01T16:15:39.395404,3.2,14
131,23,call,2025-05-01T13:22:56.034223,23.1,14
132,23,call,2025-05-03T08:42:36.458217,11.1,14
133,23,call,2025-04-30T17:58:37.408416,5.2,14
134,24,call,2026-02-07T00:19:56.898323,19.2,30
135,24,doc_request,2026-02-07T02:19:56.898323,0.0,30
136,24,chat,2026-02-07T10:04:30.854567,9.7,30
137,24,email,2026-02-09T15:26:59.495371,11.8,30
138,24,chat,2026-02-08T01:59:42.113792,25.8,30
139,24,call,2026-02-08T19:16:46.585052,7.7,30
140,24,doc_request,2026-02-08T13:15:41.759612,0.0,30
141,24,call,2026-02-07T03:22:43.367301,13.0,30
142,24,insurer_followup,2026-02-07T06:37:58.295119,8.7,30
143,24,email,2026-02-09T00:20:00.959244,12.1,30
144,25,call,2026-02-03T23:44:58.199510,17.0,4
145,25,call,2026-02-04T14:26:21.550331,5.2,4
146,25,insurer_followup,2026-02-05T22:33:07.256076,6.8,4
147,25,call,2026-02-05T04:49:50.667040,3.5,4
148,25,email,2026-02-06T11:43:09.310294,13.6,4
149,26,call,2026-03-06T17:26:43.855897,18.8,21
150,26,call,2026-03-07T01:47:26.616486,16.1,21
151,26,email,2026-03-09T14:02:06.032624,25.4,21
152,26,call,2026-03-06T21:17:47.442932,15.5,21
153,26,call,2026-03-09T12:22:41.874613,6.2,21
154,26,email,2026-03-08T19:21:37.109431,27.3,21
155,27,call,2025-06-20T19:59:14.639910,12.6,25
156,27,insurer_followup,2025-06-22T07:13:34.083142,3.1,25
157,27,call,2025-06-21T13:28:39.918849,12.6,25
158,27,call,2025-06-21T00:17:54.916861,25.7,25
159,27,email,2025-06-22T15:01:59.737197,11.2,25
160,27,doc_request,2025-06-23T04:36:13.865414,0.0,25
161,28,call,2025-03-10T12:32:38.091893,5.2,12
162,28,chat,2025-03-11T01:07:46.478584,21.1,12
163,28,email,2025-03-10T17:57:22.825030,20.4,12
164,28,email,2025-03-11T05:21:32.991126,16.2,12
165,29,call,2025-07-02T13:11:45.853087,17.1,20
166,29,call,2025-07-02T19:15:55.829958,22.1,20
167,29,chat,2025-07-04T12:33:29.681700,13.2,20
168,29,chat,2025-07-03T04:05:25.731362,22.3,20
169,30,call,2026-01-27T22:38:24.324939,19.0,21
170,30,doc_request,2026-01-28T00:38:24.324939,0.0,21
171,30,email,2026-01-28T05:07:09.889615,12.6,21
172,30,call,2026-01-29T18:37:09.255961,15.1,21
173,31,call,2025-10-20T05:15:02.492873,21.2,3
174,31,call,2025-10-20T17:14:04.373585,24.4,3
175,31,doc_request,2025-10-21T07:20:22.928039,0.0,3
176,31,email,2025-10-20T22:27:15.684888,5.2,3
177,31,email,2025-10-21T10:12:20.322749,15.6,3
178,32,call,2026-02-07T17:46:19.095628,20.6,21
179,32,call,2026-02-10T01:33:30.739661,13.2,21
180,32,call,2026-02-09T02:38:54.316531,9.6,21
181,32,email,2026-02-07T20:40:16.927587,19.6,21
182,33,call,2025-08-29T19:41:23.740195,23.9,6
183,33,email,2025-08-30T22:22:55.168020,21.9,6
184,33,call,2025-08-30T04:59:55.088245,15.2,6
185,33,insurer_followup,2025-08-31T08:36:59.958885,22.2,6
186,33,chat,2025-08-30T21:29:19.036075,20.8,6
187,34,call,2025-09-12T17:17:00.340521,18.0,20
188,34,call,2025-09-15T00:27:36.112175,3.7,20
189,34,email,2025-09-14T11:34:05.998237,25.2,20
190,34,chat,2025-09-14T16:38:37.094501,4.5,20
191,35,call,2025-07-20T22:33:31.828204,18.2,12
192,35,doc_request,2025-07-21T00:33:31.828204,0.0,12
193,35,call,2025-07-22T20:18:18.617901,9.6,12
194,35,chat,2025-07-22T23:49:15.281599,19.9,12
195,35,chat,2025-07-23T00:08:29.499088,13.4,12
196,35,email,2025-07-23T10:22:20.047484,8.5,12
197,35,call,2025-07-21T17:47:02.586858,21.5,12
198,36,call,2025-12-29T18:07:56.789419,7.5,18
199,36,call,2025-12-30T21:02:02.193636,26.5,18
200,36,email,2025-12-30T22:37:51.590099,22.5,18
201,36,chat,2025-12-31T17:25:51.415009,9.0,18
202,36,call,2025-12-31T06:59:27.796159,25.8,18
203,36,call,2025-12-31T14:34:17.843964,4.1,18
204,37,call,2026-03-08T05:05:33.821669,23.8,17
205,38,call,2025-05-20T22:49:54.072263,9.9,12
206,38,doc_request,2025-05-23T10:56:38.951434,0.0,12
207,38,doc_request,2025-05-21T18:01:39.923833,0.0,12
208,38,email,2025-05-22T16:21:13.100804,26.6,12
209,38,call,2025-05-23T02:02:39.902933,6.9,12
210,39,call,2025-06-07T21:02:47.976067,13.7,18
211,39,email,2025-06-09T21:09:21.784589,13.3,18
212,39,call,2025-06-09T17:55:44.638743,15.9,18
213,39,email,2025-06-10T18:33:27.299061,5.8,18
214,39,call,2025-06-09T21:11:03.922972,21.4,18
215,39,email,2025-06-09T03:56:17.080366,26.8,18
216,39,call,2025-06-08T22:54:16.433229,17.1,18
217,40,call,2026-01-03T20:27:53.103205,7.0,6
218,41,call,2025-08-15T03:55:10.853163,22.4,13
219,41,doc_request,2025-08-15T05:55:10.853163,0.0,13
220,41,call,2025-08-17T14:11:15.624614,14.6,13
221,41,chat,2025-08-16T02:25:05.806020,26.4,13
222,41,insurer_followup,2025-08-17T19:17:50.593321,13.0,13
223,41,chat,2025-08-17T14:18:12.353136,29.8,13
224,41,chat,2025-08-16T04:02:03.367790,29.0,13
225,41,chat,2025-08-17T21:35:26.825398,25.5,13
226,42,call,2025-12-07T17:58:31.885481,11.3,30
227,42,email,2025-12-10T00:34:17.360359,29.4,30
228,42,chat,2025-12-08T14:11:16.669183,10.9,30
229,42,call,2025-12-09T01:47:08.728486,25.0,30
230,42,email,2025-12-09T12:25:06.477520,25.4,30
231,43,call,2026-02-26T11:36:45.057519,5.4,14
232,43,doc_request,2026-02-26T13:36:45.057519,0.0,14
233,43,insurer_followup,2026-02-28T17:38:07.014846,19.4,14
234,43,email,2026-03-01T08:42:45.677381,29.2,14
235,43,chat,2026-02-27T18:55:44.331991,28.1,14
236,43,call,2026-03-01T01:43:29.622285,21.1,14
237,43,doc_request,2026-03-01T02:15:29.796992,0.0,14
238,43,insurer_followup,2026-02-28T18:09:39.899226,22.2,14
239,44,call,2026-01-18T00:36:49.851501,8.6,15
240,44,doc_request,2026-01-18T02:36:49.851501,0.0,15
241,44,email,2026-01-20T06:23:33.010289,19.6,15
242,45,call,2025-08-04T01:14:07.243918,16.7,21
243,45,doc_request,2025-08-04T03:14:07.243918,0.0,21
244,45,email,2025-08-04T18:19:15.981143,10.3,21
245,45,call,2025-08-04T12:55:44.970144,6.0,21
246,45,doc_request,2025-08-05T09:49:52.974137,0.0,21
247,46,call,2026-01-21T14:08:16.527429,12.4,22
248,46,call,2026-01-21T16:26:37.858893,8.3,22
249,46,chat,2026-01-24T06:38:47.381806,29.6,22
250,46,insurer_followup,2026-01-23T16:24:29.010894,21.0,22
251,46,call,2026-01-23T17:04:12.390845,12.3,22
252,46,email,2026-01-23T02:37:48.677372,26.2,22
253,47,call,2025-09-17T07:32:42.485209,7.7,6
254,47,email,2025-09-17T17:40:49.269036,21.8,6
255,48,call,2025-04-26T20:08:22.800106,6.0,1
256,48,email,2025-04-27T12:23:32.971904,17.3,1
257,48,chat,2025-04-27T04:41:31.823113,21.4,1
258,48,insurer_followup,2025-04-29T16:25:05.023814,6.9,1
259,48,chat,2025-04-27T15:09:02.700312,22.7,1
260,48,call,2025-04-27T09:03:49.922099,18.3,1
261,48,chat,2025-04-28T23:21:39.170141,22.4,1
262,49,call,2025-07-15T19:22:27.899650,12.9,12
263,49,email,2025-07-17T01:23:18.562545,3.3,12
264,49,email,2025-07-16T11:10:24.751061,21.1,12
265,50,call,2026-02-09T23:00:10.033193,22.0,30
266,50,doc_request,2026-02-10T01:00:10.033193,0.0,30
267,50,doc_request,2026-02-12T07:52:13.511365,0.0,30
268,50,call,2026-02-11T06:50:47.337768,4.8,30
269,51,call,2026-02-11T20:06:10.519337,7.8,12
270,51,call,2026-02-14T05:40:01.905295,25.2,12
271,51,insurer_followup,2026-02-14T08:58:25.429160,22.4,12
272,52,call,2026-01-31T00:49:32.496163,15.4,12
273,52,doc_request,2026-01-31T02:49:32.496163,0.0,12
274,52,call,2026-02-02T19:05:35.172274,25.1,12
275,52,insurer_followup,2026-02-02T08:57:07.673082,8.5,12
276,52,call,2026-02-03T00:19:31.012544,25.9,12
277,52,chat,2026-02-02T02:07:27.658422,28.6,12
278,52,insurer_followup,2026-02-01T14:29:28.716832,21.7,12
279,52,chat,2026-02-01T21:11:36.005980,23.0,12
280,53,call,2025-09-01T23:49:18.796249,6.7,3
281,53,call,2025-09-02T16:18:03.860980,12.1,3
282,53,email,2025-09-04T01:13:27.752964,10.7,3
283,53,insurer_followup,2025-09-03T08:15:45.010172,6.6,3
284,53,chat,2025-09-03T17:10:56.193007,14.3,3
285,53,doc_request,2025-09-03T17:36:00.127747,0.0,3
286,54,call,2025-03-15T17:14:54.486572,7.3,10
287,54,doc_request,2025-03-15T19:14:54.486572,0.0,10
288,54,insurer_followup,2025-03-17T02:15:45.846127,17.8,10
289,54,insurer_followup,2025-03-16T21:07:11.464486,27.5,10
290,54,chat,2025-03-18T12:23:07.657506,25.3,10
291,54,insurer_followup,2025-03-18T15:05:13.581476,5.1,10
292,54,call,2025-03-18T10:10:22.828399,6.0,10
293,54,insurer_followup,2025-03-16T19:23:49.602374,22.3,10
294,55,call,2025-08-15T22:17:10.523438,22.9,20
295,55,email,2025-08-17T21:14:45.535401,4.3,20
296,55,email,2025-08-18T18:54:08.497022,18.6,20
297,56,call,2025-09-07T02:07:00.033450,20.1,11
298,56,call,2025-09-09T07:35:15.099546,20.2,11
299,56,call,2025-09-07T08:24:15.315912,9.5,11
300,56,chat,2025-09-08T04:30:59.913695,16.7,11
301,57,call,2025-06-21T05:06:00.513592,6.5,27
302,57,insurer_followup,2025-06-22T15:21:06.598774,19.9,27
303,58,call,2025-11-05T14:55:30.818916,15.4,22
304,58,email,2025-11-06T00:08:13.830219,8.9,22
305,58,chat,2025-11-06T14:38:44.981579,16.7,22
306,58,email,2025-11-06T06:43:16.237262,3.3,22
307,58,email,2025-11-08T09:28:38.766994,11.6,22
308,58,call,2025-11-06T12:39:12.542490,25.7,22
309,58,call,2025-11-07T00:28:53.167619,5.5,22
310,58,call,2025-11-08T09:49:30.452402,27.0,22
311,59,call,2025-08-10T11:22:38.321328,20.8,15
312,59,chat,2025-08-12T11:22:16.926398,19.4,15
313,59,email,2025-08-12T13:57:04.863465,8.5,15
314,60,call,2025-07-14T17:49:02.281634,19.0,12
315,60,chat,2025-07-15T02:21:21.305234,28.1,12
316,60,doc_request,2025-07-16T01:31:04.182437,0.0,12
317,60,call,2025-07-17T16:15:39.312483,18.4,12
318,60,doc_request,2025-07-16T04:43:08.030055,0.0,12
319,60,email,2025-07-16T02:30:54.545482,22.2,12
320,60,call,2025-07-15T09:57:17.370063,14.2,12
321,60,call,2025-07-16T05:10:17.862374,11.7,12
322,60,insurer_followup,2025-07-14T21:46:59.418954,17.5,12
323,60,call,2025-07-15T22:03:43.119752,20.4,12
324,60,chat,2025-07-15T00:30:19.691094,11.8,12
325,61,call,2026-02-05T13:08:07.378634,19.1,27
326,61,chat,2026-02-06T17:00:30.992704,9.5,27
327,61,email,2026-02-06T08:27:28.587772,23.8,27
328,61,call,2026-02-07T02:46:40.703749,13.5,27
329,61,call,2026-02-07T13:17:50.833444,27.4,27
330,61,chat,2026-02-07T16:09:47.947303,4.2,27
331,61,email,2026-02-07T14:49:39.879488,10.2,27
332,61,email,2026-02-06T20:54:28.625748,19.3,27
333,61,doc_request,2026-02-06T05:41:47.786325,0.0,27
334,62,call,2025-10-02T09:46:27.268072,20.5,22
335,62,doc_request,2025-10-02T11:46:27.268072,0.0,22
336,62,email,2025-10-02T22:23:16.745130,8.5,22
337,62,chat,2025-10-05T02:50:26.703340,15.9,22
338,62,email,2025-10-03T14:40:17.929073,24.9,22
339,62,chat,2025-10-03T03:18:45.867571,20.2,22
340,62,email,2025-10-04T20:32:40.812036,7.4,22
341,63,call,2025-12-13T08:25:06.022746,7.5,6
342,63,call,2025-12-14T12:21:41.428349,5.9,6
343,63,doc_request,2025-12-14T03:07:01.420684,0.0,6
344,63,call,2025-12-14T19:06:59.188254,27.7,6
345,63,email,2025-12-14T23:52:49.083212,15.7,6
346,63,doc_request,2025-12-16T00:26:18.296331,0.0,6
347,63,doc_request,2025-12-15T07:08:30.981995,0.0,6
348,64,call,2025-09-14T04:03:09.595082,9.5,13
349,64,doc_request,2025-09-16T18:36:16.947544,0.0,13
350,64,doc_request,2025-09-17T00:33:42.619026,0.0,13
351,64,insurer_followup,2025-09-15T14:53:33.557649,28.7,13
352,65,call,2025-10-04T20:54:47.824890,7.3,21
353,65,email,2025-10-07T12:25:50.397372,6.8,21
354,66,call,2025-11-03T08:21:27.002976,7.6,10
355,66,email,2025-11-04T20:00:31.333362,13.5,10
356,66,email,2025-11-03T10:26:03.373625,3.2,10
357,66,call,2025-11-06T01:52:31.808037,4.3,10
358,66,insurer_followup,2025-11-03T20:15:59.122508,6.8,10
359,67,call,2026-03-01T07:40:28.050957,10.8,10
360,67,insurer_followup,2026-03-03T23:51:56.940708,12.4,10
361,67,doc_request,2026-03-03T07:46:47.054758,0.0,10
362,67,chat,2026-03-03T10:05:46.419235,15.7,10
363,67,doc_request,2026-03-03T14:41:30.651284,0.0,10
364,68,call,2025-06-28T11:52:20.212051,20.7,2
365,68,doc_request,2025-06-28T13:52:20.212051,0.0,2
366,68,insurer_followup,2025-07-01T05:06:09.558479,21.3,2
367,68,chat,2025-06-30T06:39:06.394756,13.2,2
368,68,chat,2025-06-30T15:33:23.935848,23.8,2
369,68,chat,2025-06-29T18:03:24.453332,11.0,2
370,69,call,2025-06-05T12:32:06.170682,17.1,25
371,69,doc_request,2025-06-05T14:32:06.170682,0.0,25
372,69,insurer_followup,2025-06-07T21:14:08.147162,25.7,25
373,69,call,2025-06-06T06:57:07.404828,10.2,25
374,69,email,2025-06-05T15:45:27.452061,7.1,25
375,69,doc_request,2025-06-08T08:04:00.791765,0.0,25
376,69,insurer_followup,2025-06-08T08:41:00.230460,13.3,25
377,69,call,2025-06-07T16:25:13.083551,15.4,25
378,70,call,2025-12-23T23:45:15.712940,9.0,15
379,70,doc_request,2025-12-24T01:45:15.712940,0.0,15
380,70,doc_request,2025-12-24T14:30:55.052548,0.0,15
381,70,doc_request,2025-12-25T18:18:58.477139,0.0,15
382,70,email,2025-12-24T18:49:32.779148,3.4,15
383,70,email,2025-12-24T03:14:31.014553,15.9,15
384,70,call,2025-12-24T18:46:53.871959,6.1,15
385,71,call,2025-12-29T03:38:32.898972,14.9,30
386,71,call,2025-12-31T02:28:48.917189,27.5,30
387,71,email,2025-12-30T04:39:18.655543,5.6,30
388,71,email,2025-12-29T10:29:22.084761,27.6,30
389,71,call,2025-12-30T10:58:35.769095,3.9,30
390,72,call,2025-11-10T04:00:02.894096,13.0,15
391,72,doc_request,2025-11-10T06:00:02.894096,0.0,15
392,72,email,2025-11-11T21:14:15.206459,21.1,15
393,72,insurer_followup,2025-11-12T17:07:46.157480,19.1,15
394,73,call,2025-08-27T23:53:08.796549,22.3,8
395,73,call,2025-08-30T18:10:54.286318,11.6,8
396,73,email,2025-08-29T13:25:04.020521,12.7,8
397,73,email,2025-08-30T16:29:45.383045,5.9,8
398,74,call,2025-05-12T13:28:50.503521,16.4,14
399,74,doc_request,2025-05-12T15:28:50.503521,0.0,14
400,74,call,2025-05-14T00:31:12.907521,9.8,14
401,74,insurer_followup,2025-05-13T08:27:11.930514,16.6,14
402,75,call,2025-12-03T03:01:20.090180,13.3,14
403,75,doc_request,2025-12-03T05:01:20.090180,0.0,14
404,75,call,2025-12-04T08:08:09.421125,25.5,14
405,75,call,2025-12-05T13:53:02.977203,8.6,14
406,75,insurer_followup,2025-12-05T22:59:27.725515,21.7,14
407,75,chat,2025-12-05T14:13:56.364225,12.9,14
408,76,call,2025-07-03T07:23:48.478592,7.8,27
409,76,doc_request,2025-07-03T09:23:48.478592,0.0,27
410,76,insurer_followup,2025-07-05T09:15:20.339887,17.9,27
411,76,insurer_followup,2025-07-05T23:37:29.303361,29.7,27
412,76,call,2025-07-04T20:15:39.593076,3.1,27
413,76,email,2025-07-05T18:09:21.167703,22.8,27
414,76,call,2025-07-05T07:26:41.379737,13.6,27
415,76,chat,2025-07-03T12:52:15.111380,23.1,27
416,76,chat,2025-07-05T16:41:25.985395,18.9,27
417,77,call,2025-03-26T18:08:35.380471,16.2,3
418,77,doc_request,2025-03-27T15:43:45.827083,0.0,3
419,77,call,2025-03-28T06:49:43.212305,28.8,3
420,77,call,2025-03-27T10:20:50.770543,20.4,3
421,77,insurer_followup,2025-03-28T22:55:39.105888,11.6,3
422,77,email,2025-03-28T01:35:59.143222,8.9,3
423,78,call,2025-06-30T13:01:02.277714,17.0,22
424,78,insurer_followup,2025-07-02T20:24:04.324111,24.9,22
425,78,call,2025-06-30T21:16:33.387141,22.5,22
426,79,call,2025-05-04T08:14:15.319229,16.8,21
427,79,email,2025-05-06T19:41:25.679209,4.8,21
428,79,call,2025-05-05T17:16:23.872906,3.1,21
429,79,insurer_followup,2025-05-07T04:04:24.447457,17.4,21
430,79,email,2025-05-04T13:22:38.749158,29.5,21
431,79,email,2025-05-05T02:22:56.842465,10.5,21
432,79,insurer_followup,2025-05-05T09:41:41.253145,19.2,21
433,79,email,2025-05-04T22:49:02.377653,19.8,21
434,80,call,2025-06-11T19:23:53.600137,9.6,23
435,80,doc_request,2025-06-11T21:23:53.600137,0.0,23
436,80,email,2025-06-14T14:02:26.132524,20.1,23
437,80,call,2025-06-13T02:35:57.683589,23.8,23
438,81,call,2025-10-01T04:05:13.823334,12.9,13
439,81,doc_request,2025-10-01T06:05:13.823334,0.0,13
440,81,call,2025-10-03T22:13:13.702257,24.3,13
441,81,insurer_followup,2025-10-01T11:51:05.374153,21.2,13
442,81,call,2025-10-02T12:07:24.341137,26.0,13
443,81,email,2025-10-03T18:39:08.514458,24.1,13
444,81,insurer_followup,2025-10-03T20:40:34.449204,23.8,13
445,81,insurer_followup,2025-10-03T17:21:48.476512,27.6,13
446,82,call,2026-01-10T16:46:15.670458,9.4,12
447,82,insurer_followup,2026-01-13T16:27:33.882879,35.9,12
448,83,call,2025-04-08T18:20:06.920228,6.8,16
449,83,insurer_followup,2025-04-10T19:59:48.845279,21.2,16
450,83,call,2025-04-11T00:15:10.747252,19.5,16
451,83,call,2025-04-10T07:08:19.978849,15.1,16
452,83,insurer_followup,2025-04-10T07:36:14.140632,5.6,16
453,83,call,2025-04-10T13:15:08.366523,11.3,16
454,83,email,2025-04-10T19:02:37.946465,15.8,16
455,84,call,2025-10-31T10:20:53.408353,13.2,20
456,84,doc_request,2025-10-31T12:20:53.408353,0.0,20
457,84,insurer_followup,2025-11-02T17:26:05.396505,32.7,20
458,84,doc_request,2025-10-31T19:37:02.551957,0.0,20
459,84,email,2025-11-01T18:14:52.889515,5.7,20
460,84,chat,2025-11-01T23:00:53.788588,27.2,20
461,84,email,2025-11-02T10:25:20.324605,28.9,20
462,84,call,2025-11-01T16:59:23.503270,17.7,20
463,84,email,2025-11-03T03:46:18.528828,3.7,20
464,85,call,2026-02-10T22:34:10.299904,19.6,6
465,85,doc_request,2026-02-11T00:34:10.299904,0.0,6
466,85,doc_request,2026-02-12T04:19:31.389833,0.0,6
467,85,chat,2026-02-12T21:21:40.133821,13.8,6
468,85,call,2026-02-12T18:01:05.683434,14.7,6
469,86,call,2025-11-29T07:11:54.821656,13.9,25
470,86,email,2025-11-30T21:14:24.257251,21.6,25
471,86,chat,2025-11-30T16:31:36.480024,28.6,25
472,86,chat,2025-12-02T06:27:51.467046,8.1,25
473,87,call,2025-06-11T13:48:42.579365,23.3,22
474,87,doc_request,2025-06-11T15:48:42.579365,0.0,22
475,87,email,2025-06-13T15:07:49.111507,29.1,22
476,87,call,2025-06-11T15:51:32.869931,18.8,22
477,87,email,2025-06-14T00:24:05.299274,5.9,22
