id,case_id,event_type,occurred_at
62,13,resolved,2025-04-30T04:37:54.633103
63,14,opened,2025-04-22T22:23:53
64,14,assigned,2025-04-23T00:09:31.704767
65,14,first_response,2025-04-23T12:28:21.422782
66,14,resolved,2025-04-25T19:25:47.699050
67,15,opened,2025-11-14T20:37:34
68,15,assigned,2025-11-15T00:28:08.123372
69,15,first_response,2025-11-15T12:28:08.123372
70,15,docs_requested,2025-11-15T14:28:08.123372
71,16,opened,2025-12-11T14:45:41
72,16,assigned,2025-12-11T17:41:52.740406
73,16,first_response,2025-12-12T05:29:49.146551
74,16,resolved,2025-12-21T04:50:17.937482
75,17,opened,2025-08-16T16:11:06
76,17,assigned,2025-08-16T19:54:23.014619
77,17,first_response,2025-08-17T08:27:00.924852
78,17,resolved,2025-08-21T07:07:44.384742
79,18,opened,2025-09-07T16:56:30
80,18,assigned,2025-09-07T19:45:27.587112
81,18,first_response,2025-09-08T02:40:41.931315
82,18,resolved,2025-09-14T13:56:02.877968
83,18,reopened,2025-09-24T12:12:08.232531
84,19,opened,2025-09-01T17:05:34
85,19,assigned,2025-09-01T17:51:17.302055
86,19,first_response,2025-09-03T10:07:55.507610
87,19,escalated,2025-09-05T07:28:28.051640
88,19,resolved,2025-09-13T15:04:10.143989
89,20,opened,2025-05-03T11:41:43
90,20,assigned,2025-05-03T12:30:12.050257
91,20,first_response,2025-05-04T00:22:14.455742
92,20,resolved,2025-05-11T12:42:58.165459
93,21,opened,2025-05-21T08:09:06
94,21,assigned,2025-05-21T10:37:11.390408
95,21,first_response,2025-05-22T01:13:01.779073
96,21,resolved,2025-05-30T13:58:59.907308
97,22,opened,2026-02-12T19:26:57
98,22,assigned,2026-02-12T22:36:24.431384
99,22,first_response,2026-02-13T13:24:24.251229
100,22,resolved,2026-02-21T18:56:20.038935
101,23,opened,2025-04-30T07:53:03
102,23,assigned,2025-04-30T08:45:30.714970
103,23,first_response,2025-04-30T15:38:36.017664
104,23,docs_requested,2025-04-30T17:38:36.017664
105,23,docs_received,2025-05-11T14:41:41.357235
106,23,resolved,2025-05-12T14:41:41.357235
107,24,opened,2026-02-06T20:50:57
108,24,assigned,2026-02-06T21:46:49.561798
109,24,first_response,2026-02-07T00:19:56.898323
110,24,docs_requested,2026-02-07T02:19:56.898323
111,24,docs_received,2026-02-14T07:29:33.841501
112,24,resolved,2026-02-15T07:29:33.841501
113,25,opened,2026-02-03T03:14:06
114,25,assigned,2026-02-03T06:35:18.076342
115,25,first_response,2026-02-03T23:44:58.199510
116,25,resolved,2026-02-09T17:08:50.696167
117,25,reopened,2026-02-22T13:44:09.155432
118,26,opened,2026-03-06T03:21:38
119,26,assigned,2026-03-06T05:26:43.855897
120,26,first_response,2026-03-06T17:26:43.855897
121,27,opened,2025-06-20T01:45:50
122,27,assigned,2025-06-20T04:45:51.245149
123,27,first_response,2025-06-20T19:59:14.639910
124,27,resolved,2025-06-27T19:46:21.038323
125,28,opened,2025-03-09T07:26:39
126,28,assigned,2025-03-09T10:33:42.145915
127,28,first_response,2025-03-10T12:32:38.091893
128,28,resolved,2025-03-11T18:10:41.657715
129,29,opened,2025-07-02T06:16:35
130,29,assigned,2025-07-02T09:10:05.718141
131,29,first_response,2025-07-02T13:11:45.853087
132,29,resolved,2025-07-11T02:02:09.388523
133,29,reopened,2025-07-21T05:00:58.850741
134,30,opened,2026-01-27T13:22:32
135,30,assigned,2026-01-27T15:39:49.621026
136,30,first_response,2026-01-27T22:38:24.324939
137,30,docs_requested,2026-01-28T00:38:24.324939
138,30,docs_received,2026-02-07T10:55:32.570684
139,30,resolved,2026-02-08T10:55:32.570684
140,30,reopened,2026-02-22T10:12:21.504929
141,31,opened,2025-10-19T12:48:43
142,31,assigned,2025-10-19T16:21:10.509513
143,31,first_response,2025-10-20T05:15:02.492873
144,31,resolved,2025-10-25T00:11:09.932635
145,32,opened,2026-02-07T08:20:51
146,32,assigned,2026-02-07T09:30:06.904927
147,32,first_response,2026-02-07T17:46:19.095628
148,32,resolved,2026-02-11T10:30:58.049414
149,33,opened,2025-08-28T17:39:28
150,33,assigned,2025-08-28T18:41:44.662633
151,33,first_response,2025-08-29T19:41:23.740195
152,33,resolved,2025-09-05T15:16:39.523293
153,34,opened,2025-09-12T09:55:24
154,34,assigned,2025-09-12T10:39:43.023511
155,34,first_response,2025-09-12T17:17:00.340521
156,34,resolved,2025-09-15T02:23:32.668594
157,35,opened,2025-07-20T08:19:21
158,35,assigned,2025-07-20T10:40:45.286085
159,35,first_response,2025-07-20T22:33:31.828204
160,35,docs_requested,2025-07-21T00:33:31.828204
161,35,docs_received,2025-07-31T21:38:26.974006
162,35,resolved,2025-08-01T21:38:26.974006
163,36,opened,2025-12-29T14:01:23
164,36,assigned,2025-12-29T15:52:25.036778
165,36,first_response,2025-12-29T18:07:56.789419
166,36,resolved,2026-01-02T01:41:48.808695
167,37,opened,2026-03-05T14:20:51
168,37,assigned,2026-03-05T18:09:58.468928
169,37,first_response,2026-03-08T05:05:33.821669
170,37,resolved,2026-03-07T13:17:40.029376
171,38,opened,2025-05-20T13:54:07
172,38,assigned,2025-05-20T16:00:33.237964
173,38,first_response,2025-05-20T22:49:54.072263
174,38,resolved,2025-05-27T22:26:17.774132
175,39,opened,2025-06-07T00:29:39
176,39,assigned,2025-06-07T02:06:05.693499
177,39,first_response,2025-06-07T21:02:47.976067
178,39,resolved,2025-06-13T10:20:35.971273
179,39,reopened,2025-06-15T22:13:17.875001
180,40,opened,2026-01-03T12:07:58
181,40,assigned,2026-01-03T13:41:15.018944
182,40,first_response,2026-01-03T20:27:53.103205
183,40,resolved,2026-01-04T12:07:58
184,41,opened,2025-08-14T20:14:09
185,41,assigned,2025-08-14T23:06:22.841973
186,41,first_response,2025-08-15T03:55:10.853163
187,41,docs_requested,2025-08-15T05:55:10.853163
188,41,docs_received,2025-08-27T22:57:43.814438
189,41,resolved,2025-08-28T22:57:43.814438
190,41,reopened,2025-09-08T00:40:58.231988
191,42,opened,2025-12-07T04:44:04
192,42,assigned,2025-12-07T05:58:31.885481
193,42,first_response,2025-12-07T17:58:31.885481
194,43,opened,2026-02-26T01:19:14
195,43,assigned,2026-02-26T04:10:17.234139
196,43,first_response,2026-02-26T11:36:45.057519
197,43,docs_requested,2026-02-26T13:36:45.057519
198,43,docs_received,2026-03-05T13:17:40.030375
199,43,escalated,2026-02-28T17:38:07.014846
200,43,resolved,2026-03-06T13:17:40.030375
201,44,opened,2026-01-17T10:24:48
202,44,assigned,2026-01-17T12:36:49.851501
203,44,first_response,2026-01-18T00:36:49.851501
204,44,docs_requested,2026-01-18T02:36:49.851501
205,45,opened,2025-08-03T08:51:58
206,45,assigned,2025-08-03T09:50:10.253488
207,45,first_response,2025-08-04T01:14:07.243918
208,45,docs_requested,2025-08-04T03:14:07.243918
209,45,docs_received,2025-08-09T20:22:07.690642
210,45,resolved,2025-08-10T20:22:07.690642
211,46,opened,2026-01-21T01:27:21
212,46,assigned,2026-01-21T05:03:28.831484
213,46,first_response,2026-01-21T14:08:16.527429
214,46,resolved,2026-01-27T12:30:50.061652
215,47,opened,2025-09-16T16:19:55
216,47,assigned,2025-09-16T19:32:42.485209
217,47,first_response,2025-09-17T07:32:42.485209
218,48,opened,2025-04-26T08:14:05
219,48,assigned,2025-04-26T09:17:31.202466
220,48,first_response,2025-04-26T20:08:22.800106
221,48,resolved,2025-05-05T15:10:44.240353
222,49,opened,2025-07-15T05:56:57
223,49,assigned,2025-07-15T07:22:27.899650
224,49,first_response,2025-07-15T19:22:27.899650
225,50,opened,2026-02-09T01:43:44
226,50,assigned,2026-02-09T04:26:46.943970
227,50,first_response,2026-02-09T23:00:10.033193
228,50,docs_requested,2026-02-10T01:00:10.033193
229,50,docs_received,2026-02-16T18:50:59.471623
230,50,resolved,2026-02-17T18:50:59.471623
231,51,opened,2026-02-10T19:34:45
232,51,assigned,2026-02-10T21:18:51.514898
233,51,first_response,2026-02-11T20:06:10.519337
234,51,resolved,2026-02-17T11:51:14.040512
235,52,opened,2026-01-30T11:52:21
236,52,assigned,2026-01-30T13:01:36.011515
237,52,first_response,2026-01-31T00:49:32.496163
238,52,docs_requested,2026-01-31T02:49:32.496163
239,52,docs_received,2026-02-10T16:21:46.076822
240,52,resolved,2026-02-11T16:21:46.076822
241,53,opened,2025-09-01T18:24:46
242,53,assigned,2025-09-01T19:45:56.245874
243,53,first_response,2025-09-01T23:49:18.796249
244,53,resolved,2025-09-05T03:55:24.912390
245,54,opened,2025-03-14T06:35:03
246,54,assigned,2025-03-14T09:37:55.476375
247,54,first_response,2025-03-15T17:14:54.486572
248,54,docs_requested,2025-03-15T19:14:54.486572
249,54,docs_received,2025-03-29T13:17:57.499298
250,54,escalated,2025-03-17T02:15:45.846127
251,54,resolved,2025-03-30T13:17:57.499298
252,55,opened,2025-08-14T12:48:43
253,55,assigned,2025-08-14T15:50:47.753656
254,55,first_response,2025-08-15T22:17:10.523438
255,55,resolved,2025-08-21T04:38:35.097228
256,56,opened,2025-09-06T15:30:14
257,56,assigned,2025-09-06T19:09:34.263551
258,56,first_response,2025-09-07T02:07:00.033450
259,56,resolved,2025-09-12T17:44:56.193076
260,57,opened,2025-06-19T05:43:32
261,57,assigned,2025-06-19T08:40:02.299370
262,57,first_response,2025-06-21T05:06:00.513592
263,57,escalated,2025-06-22T15:21:06.598774
264,57,resolved,2025-06-30T04:57:37.861061
265,58,opened,2025-11-05T08:43:59
266,58,assigned,2025-11-05T10:54:10.979586
267,58,first_response,2025-11-05T14:55:30.818916
268,58,resolved,2025-11-15T03:00:43.259091
269,59,opened,2025-08-09T16:20:51
270,59,assigned,2025-08-09T17:33:59.275572
271,59,first_response,2025-08-10T11:22:38.321328
272,59,resolved,2025-08-17T23:25:23.332257
273,60,opened,2025-07-13T21:59:15
274,60,assigned,2025-07-14T00:25:11.522349
275,60,first_response,2025-07-14T17:49:02.281634
276,60,resolved,2025-07-22T19:23:05.113334
277,61,opened,2026-02-05T01:11:02
278,61,assigned,2026-02-05T05:00:22.489248
279,61,first_response,2026-02-05T13:08:07.378634
280,61,resolved,2026-02-14T07:56:47.143466
281,62,opened,2025-10-01T13:15:17
282,62,assigned,2025-10-01T15:24:20.025117
283,62,first_response,2025-10-02T09:46:27.268072
284,62,docs_requested,2025-10-02T11:46:27.268072
285,62,docs_received,2025-10-08T07:18:17.723493
286,62,resolved,2025-10-09T07:18:17.723493
287,63,opened,2025-12-12T10:27:58
288,63,assigned,2025-12-12T12:30:09.047812
289,63,first_response,2025-12-13T08:25:06.022746
290,63,resolved,2025-12-20T01:14:41.210090
291,64,opened,2025-09-13T19:32:04
292,64,assigned,2025-09-13T23:26:57.138352
293,64,first_response,2025-09-14T04:03:09.595082
294,64,resolved,2025-09-22T14:16:42.362198
295,65,opened,2025-10-04T10:10:09
296,65,assigned,2025-10-04T14:02:26.424580
297,65,first_response,2025-10-04T20:54:47.824890
298,65,resolved,2025-10-12T03:11:54.721719
299,66,opened,2025-11-03T02:40:25
300,66,assigned,2025-11-03T06:14:24.024383
301,66,first_response,2025-11-03T08:21:27.002976
302,66,resolved,2025-11-09T21:58:34.384477
303,66,reopened,2025-11-15T10:59:41.146227
304,67,opened,2026-02-28T23:12:56
305,67,assigned,2026-02-28T23:57:07.183684
306,67,first_response,2026-03-01T07:40:28.050957
307,67,resolved,2026-03-07T13:17:40.033373
308,68,opened,2025-06-27T22:06:03
309,68,assigned,2025-06-28T01:51:38.592622
310,68,first_response,2025-06-28T11:52:20.212051
311,68,docs_requested,2025-06-28T13:52:20.212051
312,68,docs_received,2025-07-04T16:11:37.565175
313,68,resolved,2025-07-05T16:11:37.565175
314,69,opened,2025-06-04T15:51:36
315,69,assigned,2025-06-04T19:24:52.555480
316,69,first_response,2025-06-05T12:32:06.170682
317,69,docs_requested,2025-06-05T14:32:06.170682
318,69,docs_received,2025-06-14T07:26:37.471061
319,69,escalated,2025-06-07T21:14:08.147162
320,69,resolved,2025-06-15T07:26:37.471061
321,70,opened,2025-12-23T07:54:05
322,70,assigned,2025-12-23T11:45:15.712940
323,70,first_response,2025-12-23T23:45:15.712940
324,70,docs_requested,2025-12-24T01:45:15.712940
325,71,opened,2025-12-28T14:41:37
326,71,assigned,2025-12-28T15:38:32.898972
327,71,first_response,2025-12-29T03:38:32.898972
328,72,opened,2025-11-09T10:29:32
329,72,assigned,2025-11-09T13:21:05.698562
330,72,first_response,2025-11-10T04:00:02.894096
331,72,docs_requested,2025-11-10T06:00:02.894096
332,72,docs_received,2025-11-17T08:11:53.754057
333,72,resolved,2025-11-18T08:11:53.754057
334,73,opened,2025-08-27T14:55:05
335,73,assigned,2025-08-27T16:54:06.680293
336,73,first_response,2025-08-27T23:53:08.796549
337,73,resolved,2025-08-31T00:06:50.054322
338,74,opened,2025-05-11T22:09:59
339,74,assigned,2025-05-12T01:28:50.503521
340,74,first_response,2025-05-12T13:28:50.503521
341,74,docs_requested,2025-05-12T15:28:50.503521
342,75,opened,2025-12-02T20:05:38
343,75,assigned,2025-12-02T22:33:40.944496
344,75,first_response,2025-12-03T03:01:20.090180
345,75,docs_requested,2025-12-03T05:01:20.090180
346,75,docs_received,2025-12-13T19:50:16.682219
347,75,resolved,2025-12-14T19:50:16.682219
348,75,reopened,2025-12-26T04:05:52.299951
349,76,opened,2025-07-02T14:45:38
350,76,assigned,2025-07-02T17:13:18.410439
351,76,first_response,2025-07-03T07:23:48.478592
352,76,docs_requested,2025-07-03T09:23:48.478592
353,76,docs_received,2025-07-15T18:20:05.165446
354,76,escalated,2025-07-05T09:15:20.339887
355,76,resolved,2025-07-16T18:20:05.165446
356,77,opened,2025-03-26T04:12:04
357,77,assigned,2025-03-26T07:24:45.779026
358,77,first_response,2025-03-26T18:08:35.380471
359,77,resolved,2025-04-08T17:09:16.226293
360,78,opened,2025-06-30T05:55:13
361,78,assigned,2025-06-30T06:41:49.810286
362,78,first_response,2025-06-30T13:01:02.277714
363,78,resolved,2025-07-05T04:16:13.375335
364,79,opened,2025-05-03T20:20:35
365,79,assigned,2025-05-03T23:49:58.069243
366,79,first_response,2025-05-04T08:14:15.319229
367,79,resolved,2025-05-10T10:18:33.974624
368,80,opened,2025-06-11T03:37:10
369,80,assigned,2025-06-11T07:23:53.600137
370,80,first_response,2025-06-11T19:23:53.600137
371,80,docs_requested,2025-06-11T21:23:53.600137
372,81,opened,2025-09-30T14:21:48
373,81,assigned,2025-09-30T17:26:41.674676
374,81,first_response,2025-10-01T04:05:13.823334
375,81,docs_requested,2025-10-01T06:05:13.823334
376,81,docs_received,2025-10-12T17:14:30.607503
377,81,resolved,2025-10-13T17:14:30.607503
378,82,opened,2026-01-10T02:21:04
379,82,assigned,2026-01-10T04:46:15.670458
380,82,first_response,2026-01-10T16:46:15.670458
381,82,escalated,2026-01-13T16:27:33.882879
382,83,opened,2025-04-07T23:34:22
383,83,assigned,2025-04-08T02:53:21.317855
384,83,first_response,2025-04-08T18:20:06.920228
385,83,resolved,2025-04-13T07:41:45.212117
386,84,opened,2025-10-31T00:24:34
387,84,assigned,2025-10-31T03:18:59.901543
388,84,first_response,2025-10-31T10:20:53.408353
389,84,docs_requested,2025-10-31T12:20:53.408353
390,84,docs_received,2025-11-16T05:30:45.365715
391,84,escalated,2025-11-02T17:26:05.396505
392,84,resolved,2025-11-17T05:30:45.365715
393,85,opened,2026-02-09T12:20:52
394,85,assigned,2026-02-09T15:56:07.242063
395,85,first_response,2026-02-10T22:34:10.299904
396,85,docs_requested,2026-02-11T00:34:10.299904
397,85,docs_received,2026-02-19T01:19:06.369804
398,85,resolved,2026-02-20T01:19:06.369804
399,86,opened,2025-11-28T14:48:36
400,86,assigned,2025-11-28T16:45:18.588844
401,86,first_response,2025-11-29T07:11:54.821656
402,86,resolved,2025-12-08T14:00:51.924346
403,87,opened,2025-06-09T20:13:50
404,87,assigned,2025-06-10T00:07:28.424342
405,87,first_response,2025-06-11T13:48:42.579365
406,87,docs_requested,2025-06-11T15:48:42.579365
407,87,docs_received,2025-06-19T04:36:54.913522
408,87,resolved,2025-06-20T04:36:54.913522
409,88,opened,2025-09-17T14:07:45
410,88,assigned,2025-09-17T16:06:00.062142
411,88,first_response,2025-09-18T17:19:42.850997
412,88,docs_requested,2025-09-18T19:19:42.850997
413,88,docs_received,2025-09-30T22:45:40.930964
414,88,resolved,2025-10-01T22:45:40.930964
415,89,opened,2026-02-25T19:43:03
416,89,assigned,2026-02-25T21:51:46.849385
417,89,first_response,2026-02-26T03:56:20.903038
418,89,docs_requested,2026-02-26T05:56:20.903038
419,89,docs_received,2026-03-05T02:08:37.525357
420,89,resolved,2026-03-06T02:08:37.525357
421,90,opened,2025-11-11T01:14:11
422,90,assigned,2025-11-11T04:18:36.067018
423,90,first_response,2025-11-11T18:48:01.405966
424,90,escalated,2025-11-14T10:18:09.727859
425,90,resolved,2025-11-20T12:05:46.057936
426,91,opened,2025-09-02T19:02:31
427,91,assigned,2025-09-02T20:14:14.917761
428,91,first_response,2025-09-02T23:28:01.667254
429,91,resolved,2025-09-10T22:15:48.483636
430,92,opened,2025-06-15T11:21:06
431,92,assigned,2025-06-15T15:14:33.320111
432,92,first_response,2025-06-16T18:10:50.558522
433,92,docs_requested,2025-06-16T20:10:50.558522
434,92,docs_received,2025-06-23T18:11:42.763477
435,92,resolved,2025-06-24T18:11:42.763477
436,93,opened,2025-11-22T06:56:25
437,93,assigned,2025-11-22T09:41:46.643698
438,93,first_response,2025-11-22T19:17:13.711213
439,93,docs_requested,2025-11-22T21:17:13.711213
440,93,docs_received,2025-11-28T05:24:24.561872
441,93,resolved,2025-11-29T05:24:24.561872
442,94,opened,2026-02-21T07:24:54
443,94,assigned,2026-02-21T09:10:06.910465
444,94,first_response,2026-02-22T19:16:07.047770
445,94,resolved,2026-02-25T11:08:21.520119
446,95,opened,2025-05-08T15:58:26
447,95,assigned,2025-05-08T19:40:28.372425
448,95,first_response,2025-05-09T21:35:14.662551
449,95,resolved,2025-05-16T07:22:47.924088
450,96,opened,2025-10-22T12:05:58
451,96,assigned,2025-10-22T15:35:54.049033
452,96,first_response,2025-10-23T09:12:54.220535
453,96,resolved,2025-11-01T21:06:28.998326
454,97,opened,2025-08-20T02:22:49
455,97,assigned,2025-08-20T03:16:00.848089
456,97,first_response,2025-08-20T15:16:00.848089
457,98,opened,2025-12-01T09:43:21
458,98,assigned,2025-12-01T11:30:17.060653
459,98,first_response,2025-12-01T23:30:17.060653
460,98,docs_requested,2025-12-02T01:30:17.060653
461,99,opened,2025-06-13T10:37:07
462,99,assigned,2025-06-13T12:58:12.662474
463,99,first_response,2025-06-14T02:22:54.978223
464,99,docs_requested,2025-06-14T04:22:54.978223
465,99,docs_received,2025-06-27T00:13:12.687527
466,99,resolved,2025-06-28T00:13:12.687527
467,99,reopened,2025-06-30T08:39:29.409073
468,100,opened,2025-07-03T15:30:45
469,100,assigned,2025-07-03T16:22:54.478692
470,100,first_response,2025-07-04T10:07:33.543531
471,100,resolved,2025-07-13T10:42:24.598350
472,101,opened,2025-09-11T23:21:36
473,101,assigned,2025-09-12T03:01:07.310630
474,101,first_response,2025-09-12T17:05:56.137543
475,101,resolved,2025-09-19T21:39:51.289467
476,102,opened,2025-08-03T10:06:26
477,102,assigned,2025-08-03T12:10:24.497341
478,102,first_response,2025-08-04T05:53:58.182924
479,102,resolved,2025-08-09T05:45:41.848818
480,103,opened,2025-10-16T10:14:25
481,103,assigned,2025-10-16T10:48:58.437280
482,103,first_response,2025-10-17T02:47:01.181433
483,103,docs_requested,2025-10-17T04:47:01.181433
484,103,docs_received,2025-11-03T01:05:55.115797
485,103,escalated,2025-10-18T05:49:42.859956
486,103,resolved,2025-11-04T01:05:55.115797
487,104,opened,2025-07-25T17:16:34
488,104,assigned,2025-07-25T18:35:29.726272
489,104,first_response,2025-07-26T05:15:35.571085
490,104,docs_requested,2025-07-26T07:15:35.571085
491,104,docs_received,2025-08-02T18:39:26.066595
492,104,resolved,2025-08-03T18:39:26.066595
493,105,opened,2025-12-04T21:17:16
494,105,assigned,2025-12-05T00:02:08.408250
495,105,first_response,2025-12-05T12:02:08.408250
496,106,opened,2025-03-16T20:01:34
497,106,assigned,2025-03-16T23:14:49.474589
498,106,first_response,2025-03-17T11:14:49.474589
499,107,opened,2026-01-24T16:02:42
500,107,assigned,2026-01-24T17:19:20.278915
501,107,first_response,2026-01-26T08:03:48.406982
502,107,docs_requested,2026-01-26T10:03:48.406982
503,107,docs_received,2026-02-11T11:34:36.732142
504,107,escalated,2026-01-28T17:07:05.013058
505,107,resolved,2026-02-12T11:34:36.732142
506,108,opened,2025-11-18T22:40:51
507,108,assigned,2025-11-19T00:51:50.623525
508,108,first_response,2025-11-20T07:51:22.841714
509,108,docs_requested,2025-11-20T09:51:22.841714
510,108,docs_received,2025-11-29T02:02:06.026823
511,108,resolved,2025-11-30T02:02:06.026823
512,109,opened,2025-08-09T00:42:40
513,109,assigned,2025-08-09T01:36:17.876380
514,109,first_response,2025-08-09T08:20:15.062010
515,109,docs_requested,2025-08-09T10:20:15.062010
516,109,docs_received,2025-08-21T09:58:28.972687
517,109,resolved,2025-08-22T09:58:28.972687
518,110,opened,2025-11-29T15:38:56
519,110,assigned,2025-11-29T16:50:52.033691
520,110,first_response,2025-11-30T03:13:11.158299
521,110,resolved,2025-12-12T23:29:50.315103
522,110,reopened,2025-12-26T00:23:15.235589
523,111,opened,2026-01-04T13:55:28
524,111,assigned,2026-01-04T16:51:09.819836
525,111,first_response,2026-01-05T02:22:04.666353
526,111,docs_requested,2026-01-05T04:22:04.666353
527,111,docs_received,2026-01-18T04:09:44.388943
528,111,resolved,2026-01-19T04:09:44.388943
529,112,opened,2025-12-22T17:02:32
530,112,assigned,2025-12-22T20:42:48.107604
531,112,first_response,2025-12-23T04:20:23.122830
532,112,resolved,2026-01-02T04:04:57.645706
533,113,opened,2026-01-25T18:09:20
534,113,assigned,2026-01-25T21:40:49.956647
535,113,first_response,2026-01-26T22:21:17.685663
536,113,resolved,2026-02-02T05:50:21.605665
537,114,opened,2026-01-12T13:27:01
538,114,assigned,2026-01-12T15:42:09.200368
539,114,first_response,2026-01-12T19:42:48.125186
540,114,resolved,2026-01-17T18:07:05.120049
541,115,opened,2025-10-30T01:47:25
542,115,assigned,2025-10-30T03:20:54.310266
543,115,first_response,2025-10-30T09:37:43.537520
544,115,resolved,2025-11-02T04:41:24.070734
545,116,opened,2025-11-10T13:14:35
546,116,assigned,2025-11-10T16:52:59.408969
547,116,first_response,2025-11-12T23:35:28.161416
548,116,resolved,2025-11-15T03:16:15.641649
549,117,opened,2025-05-21T03:41:34
550,117,assigned,2025-05-21T07:22:36.665959
551,117,first_response,2025-05-21T19:22:36.665959
552,117,docs_requested,2025-05-21T21:22:36.665959
553,118,opened,2025-11-04T10:39:34
554,118,assigned,2025-11-04T12:16:14.452257
555,118,first_response,2025-11-05T00:43:10.675101
556,118,docs_requested,2025-11-05T02:43:10.675101
557,118,docs_received,2025-11-08T18:18:02.553652
558,118,resolved,2025-11-09T18:18:02.553652
559,119,opened,2025-06-13T15:32:43
560,119,assigned,2025-06-13T18:39:17.682598
561,119,first_response,2025-06-14T16:45:45.741219
562,119,docs_requested,2025-06-14T18:45:45.741219
563,119,docs_received,2025-06-17T02:43:28.205607
564,119,resolved,2025-06-18T02:43:28.205607
565,120,opened,2025-12-13T07:04:26
566,120,assigned,2025-12-13T08:49:52.692815
567,120,first_response,2025-12-13T22:16:53.669633
568,120,escalated,2025-12-15T21:40:23.238707
569,120,resolved,2025-12-24T06:12:51.600462
570,121,opened,2025-11-27T17:33:49
571,121,assigned,2025-11-27T19:29:37.223418
572,121,first_response,2025-11-27T22:29:50.373245
573,121,resolved,2025-12-05T22:24:22.471939
574,122,opened,2026-01-27T21:24:09
575,122,assigned,2026-01-28T01:00:32.595140
576,122,first_response,2026-01-28T03:44:57.711067
577,122,docs_requested,2026-01-28T05:44:57.711067
578,122,docs_received,2026-02-05T09:49:57.469220
579,122,resolved,2026-02-06T09:49:57.469220
580,123,opened,2025-11-07T07:13:52
581,123,assigned,2025-11-07T10:48:12.027222
582,123,first_response,2025-11-08T02:22:40.305985
583,123,resolved,2025-11-16T08:02:39.050269
584,124,opened,2025-04-15T01:10:04
585,124,assigned,2025-04-15T04:22:32.330358
586,124,first_response,2025-04-15T14:01:51.933491
587,124,docs_requested,2025-04-15T16:01:51.933491
588,124,docs_received,2025-04-22T11:51:00.870956
589,124,resolved,2025-04-23T11:51:00.870956
590,125,opened,2025-07-06T06:59:51
591,125,assigned,2025-07-06T10:13:23.012388
592,125,first_response,2025-07-06T16:43:28.281972
593,125,escalated,2025-07-09T00:46:03.412376
594,125,resolved,2025-07-17T08:48:23.974231
595,126,opened,2026-01-08T13:55:00
596,126,assigned,2026-01-08T15:33:03.342230
597,126,first_response,2026-01-09T03:36:58.032924
